Delivery Length,Delivery Line,Delivery Speed,Outcome
Hard Length,Outside Off,Unknown,Dot
Short (>9 m),Outside Off,140,Dot
Length (6-9 m),At Body,132,Single
Short (>9 m),Angles Away,Unknown,Dot
Full length(5-6 m),Down the leg side,Unknown,Single
Short (>9 m),Coming In,Unknown,Dot
Good length(6-8 m),Middle Stumps,Unknown,Out
Good length(6-8 m),Unknown,Unknown,Single
Good length(6-8 m),On the stumps,Unknown,Single
Good length(6-8 m),On middle stump,Unknown,Six
Good length(6-8 m),Off Side,Unknown,Single
Good length(6-8 m),Outside Off,Unknown,Single
Short (>9 m),Outside Off,Unknown,Single
Length (6-9 m),Straighter,Unknown,Single
Length (6-9 m),Unknown,Unknown,Four
Short (>9 m),Down the leg side,Unknown,Four
Length (6-9 m),Outside Off,Unknown,Four
Short (>9 m),Outside Off,Unknown,Single
Full length(5-6 m),On Off,132,Dot
Short (>9 m),Outside Off,Unknown,Dot
Unknown,Unknown,138,Double
Length (6-9 m),Into the Pads,134,Single
Short (>9 m),At the Hip,Unknown,Leg Bye Single
Short (>9 m),On Middle and Leg,Unknown,Single
Full length(5-6 m),BlackHole,Unknown,Dot
Length (6-9 m),In the stumps,Unknown,Out
Unknown,On the pads,Unknown,Dot
Short (>9 m),Outside Off,Unknown,Single
Short (>9 m),Off Stump,Unknown,Dot
Half-volley(<5 m),Unknown,Unknown,Four
Length (6-9 m),On the stumps,Unknown,Single
Short (>9 m),Outside Off,Unknown,Four
Short (>9 m),Unknown,Unknown,Four
Short (>9 m),On the stumps,Unknown,Single
Short (>9 m),Outside Off,Unknown,Dot
Length (6-9 m),Unknown,Unknown,Dot
Full length(5-6 m),Outside Off,137,Single
Length (6-9 m),Leg Side,136,Dot
Short (>9 m),Unknown,Unknown,Four
Length (6-9 m),Outside Off,Unknown,Single
Length (6-9 m),On the stumps,Unknown,Single
Short (>9 m),Bouncer,Unknown,Dot
Length (6-9 m),On the pads,Unknown,Six
Length (6-9 m),Outside Off,Unknown,Single
Short (>9 m),Outside Off,126,Single
Short (>9 m),Unknown,Unknown,Single
Unknown,Down the leg side,Unknown,Single
Short (>9 m),Down the leg side,Unknown,Single
Length (6-9 m),Wide on the off side,116,Single
Length (6-9 m),Outside Off,Unknown,Double
Short (>9 m),Onto the pads,Unknown,Double
Flighted,Off Side,Unknown,Single
Short (>9 m),Outside Off,Unknown,Four
Good length(6-8 m),Unknown,Unknown,Single
Good length(6-8 m),Off Stump,Unknown,Single
Short (>9 m),Outside Off,Unknown,Dot
Length (6-9 m),Down the leg side,Unknown,Four
Short (>9 m),Unknown,Unknown,Single
Short (>9 m),On the stumps,Unknown,Double
Short (>9 m),Wide on the off side,129,Dot
Length (6-9 m),Down the leg side,Unknown,Dot
Length (6-9 m),Wide on the off side,Unknown,Double
Length (6-9 m),On the pads,Unknown,Dot
Length (6-9 m),Unknown,Unknown,Single
Length (6-9 m),Unknown,Unknown,Single
Full length(5-6 m),In the stumps,Unknown,Six
Length (6-9 m),In the stumps,Unknown,Six
Flatter,Outside Off,Unknown,Dot
Short (>9 m),On Off,128,Single
Full length(5-6 m),Wide on the off side,Unknown,Dot
Short (>9 m),Unknown,Unknown,Single
Full length(5-6 m),On the stumps,Unknown,Double
Short (>9 m),On Leg,Unknown,Dot
Short (>9 m),On the stumps,Unknown,Four
Short (>9 m),Outside Off,Unknown,Single
Length (6-9 m),Outside Off,Unknown,Dot
Full length(5-6 m),On Off,Unknown,Single
Short (>9 m),Outside Off,Unknown,Six
Short (>9 m),Wide on the off side,129,Single
Yorker (0-2 m),Outside Off,Unknown,Dot
Unknown,Into the Pads,Unknown,Dot
Length (6-9 m),Down the leg side,Unknown,Single
Length (6-9 m),On the stumps,Unknown,Six
Length (6-9 m),Flighthed,Unknown,Double
Length (6-9 m),Down the leg side,Unknown,Dot
Length (6-9 m),On the stumps,Unknown,Four
Length (6-9 m),On the pads,Unknown,Dot
Full length(5-6 m),On the stumps,Unknown,Single
Full length(5-6 m),Wide,135,Single
Full length(5-6 m),In the stumps,140,Out
Yorker (0-2 m),On the pads,Unknown,Single
Length (6-9 m),Outside Off,138,Dot
Full Toss (<0 m),On the stumps,132,Single
Full Toss (<0 m),On the stumps,Unknown,Double
Full Toss (<0 m),Unknown,131,Double
Full length(5-6 m),Outside Off,120,Single
Length (6-9 m),Outside Off,Unknown,Four
Short (>9 m),Unknown,Unknown,Single
Short (>9 m),Wide on the off side,118,Dot
Short (>9 m),Unknown,Unknown,Four
Full Toss (<0 m),Into the stumps,Unknown,Six
Yorker (0-2 m),On off stumps,136,Single
Yorker (0-2 m),Wide on the off side,132,Single
Full length(5-6 m),Wide on the off side,Unknown,Single
Short (>9 m),Unknown,111,Single
Length (6-9 m),Wide,Unknown,Single
Length (6-9 m),Unknown,137,Single
Full length(5-6 m),Down the leg side,138,Single
Full length(5-6 m),On the off Stump,137,Double
Full length(5-6 m),On the leg stump,137,Single
Half-volley(<5 m),On the leg stump,Unknown,Four
Full length(5-6 m),Unknown,139,Double
Full Toss (<0 m),On the stumps,Unknown,Six
Unknown,Unknown,Unknown,Single
Full Toss (<0 m),Outside Off,Unknown,Dot
Full length(5-6 m),On the stumps,141,Out
Unknown,Down the leg side,Unknown,Double
Unknown,Down the leg side,Unknown,Double
Full Toss (<0 m),On middle stump,136,Single
Full length(5-6 m),Outside Off,Unknown,Single
Unknown,Unknown,132,Single
Yorker (0-2 m),Into the stumps,131,Double
Length (6-9 m),Outside Off,114,Single
Length (6-9 m),Outside Off,136,Single
Length (6-9 m),Into the stumps,Unknown,Double
